no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,debt_to_income_ratio,total_assets,loan_to_asset_ratio,monthly_income,monthly_payment,payment_to_income_ratio
2,0,0,9600000,29900000,12,778,17600000,22700000,8000000,0,3.114583008897603,48300000,0.6190476062308984,800000.0,2491666.6666666665,3.114579440109033
0,1,1,4100000,12200000,8,417,2200000,8800000,3300000,1,2.975609030339261,14300000,0.8531467934862382,341666.6666666667,1525000.0,4.463401570531988
3,0,0,9100000,29700000,20,506,4500000,33300000,12800000,1,3.2637359050839665,50600000,0.5869565101391994,758333.3333333334,1485000.0,1.9582391759483393
3,0,0,8200000,30700000,8,467,3300000,23300000,7900000,1,3.7439019824509776,34500000,0.8898550466708682,683333.3333333334,3837500.0,5.615845440226185
5,1,1,9800000,24200000,20,382,8200000,29400000,5000000,1,2.4693875031237242,42600000,0.5680751040357956,816666.6666666666,1210000.0,1.481630838819381
0,0,1,4800000,13500000,10,319,8300000,13700000,5100000,1,2.8124994140626223,27100000,0.4981549631677135,400000.0,1350000.0,3.374991562521094
5,0,0,8700000,33000000,4,678,14800000,29200000,4300000,0,3.79310301228701,48300000,0.6832297995190517,725000.0,8250000.0,11.37929464924876
2,0,1,5700000,15000000,20,382,5700000,11800000,6000000,1,2.631578485687985,23500000,0.638297845178815,475000.0,750000.0,1.5789440443283278
0,0,1,800000,2200000,20,782,800000,2800000,600000,0,2.749996562504297,4200000,0.5238093990930002,66666.66666666667,110000.0,1.6499752503712444
5,1,0,1100000,4300000,10,388,1400000,3300000,1600000,1,3.9090873553751315,6300000,0.6825395742000676,91666.66666666667,430000.0,4.690857917913623
4,0,1,2900000,11200000,2,547,4700000,9500000,3100000,0,3.8620676337697812,17300000,0.6473988065087395,241666.66666666666,5600000.0,23.172317907650037
2,1,1,6700000,22700000,18,538,5800000,20400000,6400000,1,3.3880591958120605,32600000,0.6963189970454295,558333.3333333334,1261111.111111111,2.258702422224517
3,1,1,5000000,11600000,16,311,9600000,14600000,4300000,1,2.319999536000093,28500000,0.4070175295783323,416666.6666666667,725000.0,1.7399958240100224
2,0,1,9100000,31500000,14,679,16600000,20900000,5000000,0,3.461538081149661,42500000,0.7411764531487893,758333.3333333334,2250000.0,2.9670290544671807
1,1,0,1900000,7400000,6,469,1200000,5900000,1900000,1,3.8947347922448463,9000000,0.8222221308642077,158333.33333333334,1233333.3333333333,7.789424487845339
5,1,0,4700000,10700000,10,794,3900000,16400000,4400000,0,2.2765952602988806,24700000,0.43319836302840636,391666.6666666667,1070000.0,2.7319079185329738
2,0,1,500000,1600000,4,663,100000,1300000,700000,0,3.1999936000128,2100000,0.7619043990931433,41666.666666666664,400000.0,9.599769605529469
4,1,1,2900000,9400000,14,780,2800000,6700000,4300000,0,3.2413781926282095,13800000,0.6811593709304804,241666.66666666666,671428.5714285715,2.77831362668253
2,0,0,2700000,10300000,10,736,0,6200000,3300000,0,3.8148134019209623,9500000,1.0842104121883778,225000.0,1030000.0,4.57775743218919
5,0,0,6300000,14600000,12,652,3500000,23500000,5900000,0,2.317459949609532,32900000,0.4437689834720674,525000.0,1216666.6666666667,2.317455903258597
2,0,0,5000000,19400000,12,315,1600000,18000000,6100000,1,3.879999224000155,25700000,0.7548637838574404,416666.6666666667,1616666.6666666667,3.8799906880223487
4,0,0,5800000,14000000,16,530,11300000,22200000,5400000,1,2.4137926872771227,38900000,0.35989716298464874,483333.3333333333,875000.0,1.8103410820529338
4,0,1,6500000,25700000,18,311,1700000,19500000,8500000,1,3.9538455455622237,29700000,0.8653198361845174,541666.6666666666,1427777.7777777778,2.6358925696342306
0,1,1,500000,1400000,2,551,600000,1100000,300000,0,2.7999944000112,2000000,0.6999996500001749,41666.666666666664,700000.0,16.79959680967657
0,1,0,4900000,9800000,16,324,8700000,10000000,3300000,1,1.999999591836818,22000000,0.4454545252066125,408333.3333333333,612500.0,1.4999963265396086
5,1,0,3100000,9500000,20,514,3100000,6600000,2600000,1,3.0645151404789868,12300000,0.77235766078393,258333.33333333334,475000.0,1.8387025598610585
4,0,0,8200000,28100000,12,696,10600000,25300000,7200000,0,3.4268288503867255,43100000,0.651972142645658,683333.3333333334,2341666.6666666665,3.426824253427921
4,1,1,2400000,5600000,4,662,4200000,5400000,2500000,0,2.333332361111516,12100000,0.4628098791066216,200000.0,1400000.0,6.999965000174999
5,1,1,7000000,24000000,6,336,11900000,27500000,9700000,1,3.42857093877558,49100000,0.48879836071693766,583333.3333333334,4000000.0,6.8571311020609675
3,1,1,9000000,31500000,10,850,12400000,33700000,8000000,0,3.4999996111111544,54100000,0.5822550724167269,750000.0,3150000.0,4.1999944000074665
2,1,0,9800000,25300000,12,313,5200000,25500000,9300000,1,2.581632389629348,40000000,0.6324999841875004,816666.6666666666,2108333.3333333335,2.5816294918822553
2,0,0,5700000,12000000,6,363,7400000,21700000,4300000,1,2.105262788550388,33400000,0.35928142636881955,475000.0,2000000.0,4.2105174515422075
1,1,1,800000,1600000,10,436,200000,2200000,1000000,1,1.999997500003125,3400000,0.47058809688585385,66666.66666666667,160000.0,2.399964000539992
5,1,1,8400000,22000000,2,830,3900000,19900000,5400000,0,2.619047307256273,29200000,0.7534246317320331,700000.0,11000000.0,15.714263265338193
3,0,0,4900000,11900000,8,612,1200000,19000000,5800000,0,2.4285709329447074,26000000,0.45769229008875806,408333.3333333333,1487500.0,3.6428482215961924
2,0,1,1700000,3400000,8,691,2800000,6000000,900000,0,1.9999988235301038,9700000,0.35051542778191463,141666.66666666666,425000.0,2.999978823678892
3,1,0,1600000,6200000,18,636,700000,5300000,1400000,0,3.874997578126514,7400000,0.8378377246165237,133333.33333333334,344444.44444444444,2.5833139584786444
5,0,1,8000000,27200000,6,348,300000,16700000,7100000,1,3.399999575000053,24100000,1.1286306585630432,666666.6666666666,4533333.333333333,6.7999898000153
5,0,0,3600000,7700000,16,830,1300000,10000000,2900000,0,2.1388882947532513,14200000,0.5422534829398956,300000.0,481250.0,1.6041613194622684
3,1,1,1500000,5100000,6,352,200000,5600000,900000,1,3.3999977333348443,6700000,0.761193916239714,125000.0,850000.0,6.799945600435197
1,0,0,7800000,18100000,2,712,11200000,21700000,9000000,0,2.320512523011215,41900000,0.43198089661143446,650000.0,9050000.0,13.923055502991534
2,1,0,9100000,24900000,16,822,12100000,31000000,5200000,0,2.7362634355754465,48300000,0.5155279396371028,758333.3333333334,1556250.0,2.0521950960064665
3,0,0,1400000,3400000,6,540,1500000,3900000,800000,1,2.42856969387879,6200000,0.5483870083246761,116666.66666666667,566666.6666666666,4.857101224846644
2,0,1,800000,2300000,12,342,1300000,1800000,800000,1,2.874996406254492,3900000,0.5897434385273235,66666.66666666667,191666.66666666666,2.874956875646865
5,0,0,6500000,13400000,18,787,300000,16200000,5400000,0,2.061538144378747,21900000,0.6118721181793554,541666.6666666666,744444.4444444445,1.3743564370855523
4,0,0,8000000,27800000,16,331,6300000,21400000,10900000,1,3.4749995656250543,38600000,0.7202072352277918,666666.6666666666,1737500.0,2.606246090630864
3,1,1,4200000,14600000,6,679,6900000,8700000,4900000,0,3.476189648526274,20500000,0.7121950872099957,350000.0,2433333.3333333335,6.952361088492129
1,0,1,4900000,19100000,14,677,9100000,17700000,6500000,0,3.8979583881717574,33300000,0.5735735563491424,408333.3333333333,1364285.7142857143,3.341099689435163
3,1,0,5500000,20500000,12,634,8600000,18500000,8200000,0,3.7272720495869,35300000,0.5807365274578887,458333.3333333333,1708333.3333333333,3.7272645950590655
1,1,1,9500000,19100000,16,662,10500000,37700000,11700000,0,2.0105261041551468,59900000,0.318864769301089,791666.6666666666,1193750.0,1.50789283213537
4,0,0,7300000,25400000,16,502,1800000,20500000,10500000,1,3.479451578157318,32800000,0.7743902202929811,608333.3333333334,1587500.0,2.6095847513675317
2,0,0,8700000,24700000,10,435,3500000,21800000,11300000,1,2.839080133439065,36600000,0.6748633695392522,725000.0,2470000.0,3.406891852562962
5,1,0,3800000,7600000,4,689,100000,9300000,3400000,0,1.999999473684349,12800000,0.5937499536132849,316666.6666666667,1900000.0,5.999981052691412
1,1,1,8400000,23000000,12,657,14800000,31900000,8200000,0,2.738094912131558,54900000,0.41894352606660246,700000.0,1916666.6666666667,2.7380913265362
2,0,1,5100000,19700000,20,590,9300000,19400000,3400000,0,3.8627443406383644,32100000,0.6137071459904316,425000.0,985000.0,2.3176416055491633
5,1,0,6700000,24500000,12,818,5600000,16300000,6200000,0,3.6567158721319593,28100000,0.8718860899684665,558333.3333333334,2041666.6666666667,3.6567098685793398
2,1,0,4300000,10600000,18,431,1500000,9300000,5200000,1,2.465115705787045,16000000,0.6624999585937525,358333.3333333333,588888.8888888889,1.6434062664631324
5,0,1,9300000,30500000,18,841,10300000,34600000,8700000,0,3.279569539831232,53600000,0.5690298401300403,775000.0,1694444.4444444445,2.186377107183661
1,0,0,7400000,18400000,20,421,9100000,17500000,4100000,1,2.4864861504748443,30700000,0.5993485146792015,616666.6666666666,920000.0,1.491889472611666
4,1,1,5500000,18200000,16,797,4900000,18600000,4800000,0,3.309090307438126,28300000,0.6431095179113244,458333.3333333333,1137500.0,2.481812766953963
2,1,0,8500000,18900000,18,478,16300000,25900000,11400000,1,2.223529150173041,53600000,0.3526119337199266,708333.3333333334,1050000.0,1.482350848445861
3,1,1,9600000,30500000,18,669,1900000,26500000,9300000,0,3.1770830023871874,37700000,0.8090185461798794,800000.0,1694444.4444444445,2.1180529079894206
5,1,1,8800000,28900000,6,365,8600000,27400000,4700000,1,3.2840905358988026,40700000,0.710073692627182,733333.3333333334,4816666.666666667,6.568172861582462
3,1,1,3300000,7500000,20,586,5600000,10500000,2900000,0,2.2727265840222475,19000000,0.394736821329641,275000.0,375000.0,1.363631404976709
4,0,1,3900000,12300000,18,784,6900000,13100000,2800000,0,3.15384534516786,22800000,0.5394736605494008,325000.0,683333.3333333334,2.1025576331560005
1,0,0,4100000,10300000,12,364,6100000,14900000,2800000,1,2.5121945092208513,23800000,0.43277309105995415,341666.6666666667,858333.3333333334,2.512187769206529
3,1,0,8300000,29100000,10,715,11900000,24100000,11900000,0,3.5060236739730515,47900000,0.6075156449370429,691666.6666666666,2910000.0,4.207222832930844
0,1,1,2700000,10100000,20,693,1700000,5900000,1400000,1,3.74073935528172,9000000,1.122222097530878,225000.0,505000.0,2.244434469180137
4,0,0,5600000,12400000,4,777,3100000,11800000,5500000,0,2.2142853188776215,20400000,0.6078431074586712,466666.6666666667,3100000.0,6.642842908193768
0,0,0,1900000,5000000,12,312,2800000,4900000,2400000,1,2.6315775623275988,10100000,0.49504945593569744,158333.33333333334,416666.6666666667,2.6315623269747768
4,1,1,500000,1500000,20,340,200000,1900000,600000,1,2.999994000012,2700000,0.5555553497943149,41666.666666666664,75000.0,1.7999568010367752
5,0,1,5300000,18600000,4,386,9700000,11900000,4200000,0,3.5094333001069247,25800000,0.7209302046151084,441666.6666666667,4650000.0,10.528278049181775
5,1,0,7000000,18300000,4,418,11700000,21500000,7600000,1,2.6142853408163798,40800000,0.44852940077133824,583333.3333333334,4575000.0,7.842843697982231
3,1,1,5800000,16700000,16,735,9400000,12600000,5600000,0,2.8793098483948536,27600000,0.6050724418452014,483333.3333333333,1043750.0,2.159478290734571
2,1,0,2600000,8400000,6,494,3800000,5600000,2000000,1,3.2307679881661584,11400000,0.7368420406278912,216666.66666666666,1400000.0,6.461508639190896
2,1,0,1900000,6500000,18,671,2500000,4800000,1100000,0,3.4210508310258785,8400000,0.7738094316893533,158333.33333333334,361111.1111111111,2.280687350044807
4,0,0,5700000,14800000,16,697,7800000,12900000,6300000,0,2.5964907725454784,27000000,0.5481481278463657,475000.0,925000.0,1.947364321338271
0,0,0,9000000,33500000,8,801,8900000,35400000,11100000,0,3.722221808642021,55400000,0.6046931298791853,750000.0,4187500.0,5.583325888898814
